Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
ChEMBL,View-Unionable,assays_both_0_50_ac3_av,roberta-base,0.5,0.4117647058823529,0.6363636363636364,156.85424375534058
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,111.07553005218506
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,distilbert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,57.48224401473999
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,38.73028612136841
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,albert-base-v2,0.5,0.3571428571428571,0.8333333333333334,55.20887899398804
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,facebook/bart-base,0.5,0.3571428571428571,0.8333333333333334,204.6376581192017
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,gpt,0.5,0.3571428571428571,0.8333333333333334,34.67564296722412
ChEMBL,View-Unionable,assays_both_0_30_ac1_ev,roberta-base,0.5,0.3571428571428571,0.8333333333333334,104.84895586967468
ChEMBL,View-Unionable,assays_both_0_50_ac3_ev,distilbert-base-uncased,0.7142857142857143,0.5882352941176471,0.9090909090909092,100.88136100769044
ChEMBL,View-Unionable,assays_both_0_50_ac3_ev,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.5882352941176471,0.9090909090909092,51.18028497695923
ChEMBL,View-Unionable,assays_both_0_50_ac3_ev,albert-base-v2,0.7142857142857143,0.5882352941176471,0.9090909090909092,74.13891911506653
ChEMBL,View-Unionable,assays_both_0_50_ac3_ev,facebook/bart-base,0.5,0.4117647058823529,0.6363636363636364,306.1862761974335
ChEMBL,View-Unionable,assays_both_0_50_ac3_ev,gpt,0.7857142857142858,0.6470588235294118,1.0,55.77486300468445
ChEMBL,View-Unionable,assays_both_0_50_ac3_ev,roberta-base,0.6428571428571428,0.5294117647058824,0.8181818181818182,189.3571310043335
ChEMBL,View-Unionable,assays_both_0_1_ac1_av,gpt,0.0,0.0,0.0,50.178616762161255
ChEMBL,View-Unionable,assays_both_0_1_ac1_av,roberta-base,0.1538461538461538,0.0833333333333333,1.0,53.06606125831604
ChEMBL,View-Unionable,assays_both_0_30_ac1_av,distilbert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,92.8441128730774
ChEMBL,View-Unionable,assays_both_0_30_ac1_av,sentence-transformers/all-MiniLM-L6-v2,0.4,0.2857142857142857,0.6666666666666666,43.91555309295654
ChEMBL,View-Unionable,assays_both_0_30_ac1_av,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,54.49976587295532
ChEMBL,View-Unionable,assays_both_0_30_ac1_av,facebook/bart-base,0.3,0.2142857142857142,0.5,226.86717009544373
ChEMBL,View-Unionable,assays_both_0_30_ac1_av,gpt,0.4,0.2857142857142857,0.6666666666666666,48.52156686782837
ChEMBL,View-Unionable,assays_both_0_30_ac1_av,roberta-base,0.4,0.2857142857142857,0.6666666666666666,121.107990026474
ChEMBL,View-Unionable,assays_both_0_1_ac5_av,distilbert-base-uncased,0.1538461538461538,0.0833333333333333,1.0,51.43832516670227
ChEMBL,View-Unionable,assays_both_0_1_ac5_av,sentence-transformers/all-MiniLM-L6-v2,0.1538461538461538,0.0833333333333333,1.0,19.650774002075195
ChEMBL,View-Unionable,assays_both_0_1_ac5_av,albert-base-v2,0.1538461538461538,0.0833333333333333,1.0,27.462028980255127
ChEMBL,View-Unionable,assays_both_0_1_ac5_av,facebook/bart-base,0.0,0.0,0.0,108.17619490623474
ChEMBL,View-Unionable,assays_both_0_1_ac5_av,gpt,0.1538461538461538,0.0833333333333333,1.0,26.208817958831787
ChEMBL,View-Unionable,assays_both_0_1_ac5_av,roberta-base,0.1538461538461538,0.0833333333333333,1.0,61.28364396095276
ChEMBL,View-Unionable,assays_both_0_70_ac3_av,distilbert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,154.5197787284851
ChEMBL,View-Unionable,assays_both_0_70_ac3_av,sentence-transformers/all-MiniLM-L6-v2,0.6285714285714286,0.5789473684210527,0.6875,86.83516311645508
ChEMBL,View-Unionable,assays_both_0_70_ac3_av,albert-base-v2,0.6857142857142857,0.631578947368421,0.75,125.9935417175293
ChEMBL,View-Unionable,assays_both_0_70_ac3_av,facebook/bart-base,0.4571428571428571,0.4210526315789473,0.5,455.1170928478241
ChEMBL,View-Unionable,assays_both_0_70_ac3_av,gpt,0.5142857142857142,0.4736842105263157,0.5625,89.64170694351196
ChEMBL,View-Unionable,assays_both_0_70_ac3_av,roberta-base,0.3999999999999999,0.3684210526315789,0.4375,239.6808819770813
ChEMBL,View-Unionable,assays_both_0_50_ec_ev,distilbert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,131.70509099960327
ChEMBL,View-Unionable,assays_both_0_50_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.4285714285714285,0.3529411764705882,0.5454545454545454,63.70950770378113
ChEMBL,View-Unionable,assays_both_0_50_ec_ev,albert-base-v2,0.5,0.4117647058823529,0.6363636363636364,92.71424722671507
ChEMBL,View-Unionable,assays_both_0_50_ec_ev,facebook/bart-base,0.3571428571428571,0.2941176470588235,0.4545454545454545,347.69833493232727
ChEMBL,View-Unionable,assays_both_0_50_ec_ev,gpt,0.5,0.4117647058823529,0.6363636363636364,67.92695307731628
ChEMBL,View-Unionable,assays_both_0_50_ec_ev,roberta-base,0.5,0.4117647058823529,0.6363636363636364,180.28083300590515
